quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,128,4,12,20,early,13.1529
hadamard,8,128,4,8,160,all,45.4351
hadamard,8,128,4,8,160,mid,18.3704
hadamard,8,128,4,8,160,late,15.1815
hadamard,8,128,4,8,160,early,13.1244
hadamard,8,128,4,8,120,all,47.1949
hadamard,8,128,4,8,120,mid,18.5057
hadamard,8,128,4,8,120,late,15.6052
hadamard,8,128,4,8,120,early,13.1399
hadamard,8,128,4,8,80,all,50.2802
hadamard,8,128,4,8,80,mid,18.7558
hadamard,8,128,4,8,80,late,16.1940
hadamard,8,128,4,8,80,early,13.1808
hadamard,8,128,4,8,40,all,58.1377
hadamard,8,128,4,8,40,mid,19.5417
hadamard,8,128,4,8,40,late,17.2214
hadamard,8,128,4,8,40,early,13.2393
hadamard,8,128,4,8,20,all,72.3186
hadamard,8,128,4,8,20,mid,20.7768
hadamard,8,128,4,8,20,late,18.7735
hadamard,8,128,4,8,20,early,13.3660
hadamard,8,128,4,4,160,all,56.2494
hadamard,8,128,4,4,160,mid,20.7428
